daytime,credit,contents,require
【家事】【】▼11/29水▼10：00～12：00,2,成年後見人等候補者名簿登録 更新研修（家裁からみた専門職後見人・後見監督人の実務の留意点に関する研修）▼ （2017/6/20ライブ実施分DVD研修）▼◇阿多麻子（大阪家裁判事）▼ 河野文彦（大阪家裁判事補）▼ 萩原邦彦（大阪家裁書記官）▼ 井上雅人（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼11/29水▼13：30～17：00,4,【日弁連ライブ実務研修】ハーグ条約実施法及び実務の解説（2017）（2017/10/18日弁連ライブ実施分DVD研修）▼◇未定,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【民事・商事】【】▼11/29水▼18：00～20：00,2,【日弁連ライブ実務研修】民事信託に関する具体例と課税上の諸問題（2017/10/18日弁連ライブ実施分DVD研修）▼◇未定,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【社会法・経済法】【】▼11/30木▼10：00～17：00,6,【日弁連ライブ実務研修】知的財産に関する研修会2017▼ （2017/10/19日弁連ライブ実施分DVD研修）▼◇未定,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼11/30木▼16：00～18：00,2,成年後見研修⑦成年後見アドバンス研修「後見制度支援信託」～検討事案の実務上の留意点～（2015/9/25ライブ実施分DVD研修）▼◇青木佳史（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼11/30木▼18：00～20：00,2,【日弁連ライブ実務研修】よくわかる最新重要判例解説2017（刑事）▼ （2017/10/19日弁連ライブ実施分DVD研修）▼◇未定,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼12/1金▼13：00～15：00,2,成年後見人等候補者名簿登録 更新研修（家裁からみた専門職後見人・後見監督人の実務の留意点に関する研修）▼ （2017/6/20ライブ実施分DVD研修）▼◇阿多麻子（大阪家裁判事）▼ 河野文彦（大阪家裁判事補）▼ 萩原邦彦（大阪家裁書記官）▼ 井上雅人（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼12/6水▼13：30～16：00,3,ひまわり支援弁護士登録研修▼ ①法律相談基礎研修（2016/12/1ライブ実施分DVD研修）▼◇中西 基（当会会員）▼ 徳村初美（当会会員）▼ 小谷真由香（当会会員）▼ 近藤厚志（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼12/7木▼16：00～18：00,2,成年後見研修⑤市町村長申立、高齢者・障がい者虐待編▼ （2017/3/24ライブ実施分DVD研修）▼◇泉田健司（当会会員）▼ 斉藤亮仁（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼12/8金▼10：00～12：00,2,成年後見研修⑥成年後見アドバンス研修▼ 「成年後見監督人の職務と実務上の留意点」（2017/3/29ライブ実施分DVD研修）▼◇那須良太（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼12/13水▼13：00～15：00,2,成年後見研修④成年後見アドバンス研修「任意後見研修」▼ （2016/8/29ライブ実施分DVD研修）▼◇髙田泰治（公証人）▼ 溝上絢子（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼12/14木▼10：00～12：00,2,成年後見研修①成年後見総論（2017/1/13ライブ実施分DVD研修）▼◇井上計雄（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼12/18月▼15：00～17：00,2,成年後見研修③身上監護の実務（2017/2/24ライブ実施分DVD研修）▼◇梅津和弘（社会福祉士）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼12/26火▼10：00～12：30,3,触法障害者と向き合う刑事弁護（2016/5/27ライブ実施分DVD研修）▼◇西村武彦（札幌弁護士会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
